City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
500,Atar,MR,20.5169,-13.0499,72.1,15,78,9.08,broken clouds
501,Chemal,RU,51.4111,86.005,19.6,96,100,1.3,light snow
502,Caibarien,CU,22.5206,-79.4669,79.92,79,8,12.8,clear sky
503,Portland,US,45.5234,-122.6762,46.9,86,90,3.0,overcast clouds
504,Bereda,ES,43.2686,-7.5406,46.58,100,77,1.59,broken clouds
505,Montecristo,CO,8.2971,-74.4733,80.51,84,99,2.21,overcast clouds
506,Qasigiannguit,GL,68.8193,-51.1922,19.65,93,98,5.3,overcast clouds
507,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,94.93,31,28,10.51,scattered clouds
508,Goderich,CA,43.7501,-81.7165,43.12,70,0,18.41,clear sky
509,Loiza,PR,18.4313,-65.8802,80.6,78,75,9.22,broken clouds
510,Sampit,ID,-2.5333,112.95,74.08,98,100,2.33,overcast clouds
511,Tautira,PF,-17.7333,-149.15,84.22,79,85,11.27,light rain
512,Vung Tau,VN,10.346,107.0843,75.58,84,32,7.76,scattered clouds
513,Yar-Sale,RU,66.8333,70.8333,-15.86,99,81,4.16,broken clouds
514,Altay,CN,47.8667,88.1167,10.9,63,84,5.53,broken clouds
515,Muisne,EC,0.6,-80.0333,75.31,92,100,7.72,light rain
516,Korba,IN,22.35,82.6833,54.99,47,19,4.99,few clouds
517,Cairns,AU,-16.9167,145.7667,86.95,66,51,8.05,broken clouds
518,Lavrentiya,RU,65.5833,-171.0,-14.53,87,13,3.0,few clouds
519,Mecca,SA,21.4267,39.8261,72.43,64,39,2.51,scattered clouds
520,Esmeraldas,BR,-19.7625,-44.3139,77.86,89,87,5.35,overcast clouds
521,Tombouctou,ML,20.0,-3.0,69.91,10,16,8.25,few clouds
522,Panjakent,TJ,39.4952,67.6093,33.6,86,87,0.72,overcast clouds
523,Sambava,MG,-14.2667,50.1667,74.89,85,95,7.9,light rain
524,Verkhoyansk,RU,67.5447,133.385,-41.3,100,97,2.19,overcast clouds
525,Gushikawa,JP,26.3544,127.8686,67.23,79,90,16.11,mist
526,Vestmanna,FO,62.1564,-7.1664,40.12,81,90,8.05,overcast clouds
527,Narsaq,GL,60.9167,-46.05,19.62,80,3,4.38,clear sky
528,Padang,ID,-0.9492,100.3543,77.05,91,100,2.08,light rain
529,San Andres,CO,12.5847,-81.7006,82.42,78,75,8.05,broken clouds
530,Gibara,CU,21.1097,-76.1317,81.72,68,2,13.62,clear sky
531,Olavarria,AR,-36.8927,-60.3225,76.01,59,59,7.02,broken clouds
532,Antalaha,MG,-14.9003,50.2788,72.72,90,98,5.7,light rain
533,Karlstad,SE,59.3793,13.5036,34.36,100,90,5.75,mist
534,Bunia,CD,1.5667,30.25,66.79,41,97,3.96,overcast clouds
535,Beringovskiy,RU,63.05,179.3167,-19.01,99,100,13.31,overcast clouds
536,Olinda,BR,-8.0089,-34.8553,82.13,65,40,6.91,scattered clouds
537,Port Hardy,CA,50.6996,-127.4199,38.75,100,75,3.44,light shower snow
538,Brighton,GB,50.8284,-0.1395,54.32,87,98,14.0,overcast clouds
539,Queenstown,ZA,-31.8976,26.8753,64.56,89,97,3.29,light rain
540,Ishurdi,BD,24.1333,89.0833,60.13,46,0,7.2,clear sky
541,Yeppoon,AU,-23.1333,150.7333,78.58,71,9,14.56,clear sky
542,Krasnyy Yar,RU,46.5331,48.3456,24.73,60,1,10.27,clear sky
